County,FIPS code,County seat,Est.,Origin,Etymology,Population
Adams County,1,Quincy,1825,Pike County,"John Quincy Adams (1767–1848), sixth President of the United States","65737"
Alexander County,3,Cairo,1819,Union County,"William M. Alexander, settler and state representative in the Illinois General Assembly","5240"
Bond County,5,Greenville,1817,"Crawford County, Edwards County, and Madison County","Shadrach Bond (1773–1832), first Governor of Illinois","16725"
Boone County,7,Belvidere,1837,Winnebago County,"Daniel Boone (1734–1820), trailblazer of the Wilderness Road in Kentucky","53448"
Brown County,9,Mount Sterling,1839,Schuyler County,"Jacob Brown (1775–1828), successful War of 1812 army officer responsible for Great Lakes defenses","6244"
Bureau County,11,Princeton,1837,Putnam County,"Pierre de Bureo, Frenchman, North American fur trader","33244"
Calhoun County,13,Hardin,1825,Pike County,"John C. Calhoun (1782–1850), South Carolina senator and seventh Vice President of the United States","4437"
Carroll County,15,Mount Carroll,1839,Jo Daviess,"Charles Carroll of Carrollton (1737–1832), signed the Declaration of Independence on behalf of Maryland","15702"
Cass County,17,Virginia,1837,Morgan County,"Lewis Cass (1782–1866), second governor of Michigan Territory, fourteenth United States Secretary of War","13042"
Champaign County,19,Urbana,1833,Vermilion County,"Champaign County, Ohio, which took its name from the French for ""open level country""","205865"
Christian County,21,Taylorville,1839,Sangamon County,"Christian County, Kentucky, which was named after William Christian","34032"
Clark County,23,Marshall,1819,Crawford County,"George Rogers Clark (1752–1818), highest-ranking officer in the Northwest Territory during the American Revolution","15455"
Clay County,25,Louisville,1824,"Wayne, Lawrence, Fayette, and Crawford County","Henry Clay (1777–1852), Kentucky legislator who negotiated the Missouri Compromise","13288"
Clinton County,27,Carlyle,1824,"Washington, Bond, and Fayette County","DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal","36899"
Coles County,29,Charleston,1830,Clark and Edgar County,"Edward Coles (1786–1868), second Governor of Illinois, responsible for the abolition of slavery in Illinois","46863"
Cook County,31,Chicago,1831,Putnam County,"Daniel Pope Cook (1794–1827), politician and first Attorney General of Illinois","5275541"
Crawford County,33,Robinson,1816,Edwards County,"William H. Crawford (1772–1834), ninth United States Secretary of War, seventh Secretary of the Treasury","18679"
Cumberland County,35,Toledo,1843,Coles County,"Disputed: Cumberland Road, which entered the county; Cumberland, Maryland; or Cumberland River in Kentucky","10450"
DeKalb County,37,Sycamore,1837,Kane County,"Johann de Kalb (1721–1780), German soldier in the Continental Army who fought alongside Gilbert du Motier, marquis de Lafayette","100420"
DeWitt County,39,Clinton,1839,Macon and McLean County,"DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal","15516"
Douglas County,41,Tuscola,1859,Coles County,"Stephen A. Douglas (1813–1861), prominent Illinois Democrat who engaged in debates with Abraham Lincoln","19740"
DuPage County,43,Wheaton,1839,Cook County,DuPage River,"932877"
Edgar County,45,Paris,1823,Clark County,"John Edgar (c. 1750–1832), Illinois delegate to the Northwest Territory legislature; at the time, wealthiest man in Illinois","16866"
Edwards County,47,Albion,1814,Gallatin County and Madison County,"Ninian Edwards (1775–1833), third Governor of the State of Illinois and only governor of the Illinois Territory","6245"
Effingham County,49,Effingham,1831,Fayette and Crawford County,"Thomas Howard, 3rd Earl of Effingham, military officer who resigned from the British Army to avoid fighting the American colonies","34668"
Fayette County,51,Vandalia,1821,"Bond, Wayne, Clark, Jefferson, and Crawford County","Gilbert du Motier, marquis de Lafayette (1757–1834), French military officer who was a key factor in the American and French Revolutions.","21488"
Ford County,53,Paxton,1859,Vermilion County,"Thomas Ford (1800–1850), eighth Governor of Illinois; served during the Illinois Mormon War","13534"
Franklin County,55,Benton,1818,White County and Gallatin County,"Benjamin Franklin (1706–1790), prolific writer, inventor, and politician; key factor in the American Revolution","37804"
Fulton County,57,Lewistown,1823,Pike County,"Robert Fulton (1765–1815), inventor of the steamboat","33609"
Gallatin County,59,Shawneetown,1812,Randolph County,"Albert Gallatin (1761–1849), fourth and longest-serving United States Secretary of the Treasury","4946"
Greene County,61,Carrollton,1821,Madison County,"Nathanael Greene (1742–1786), major general in the Continental Army","11985"
Grundy County,63,Morris,1841,LaSalle County,"Felix Grundy (1777–1840), Tennessean senator who served as the thirteenth United States Attorney General","52533"
Hamilton County,65,McLeansboro,1821,White County,"Alexander Hamilton (1755–1804), first United States Secretary of the Treasury","7993"
Hancock County,67,Carthage,1825,Adams County,"John Hancock (1737–1793), first governor of the Massachusetts colony and president of the Second Continental Congress","17620"
Hardin County,69,Elizabethtown,1839,Pope County,"Hardin County, Kentucky, which was named after John Hardin","3649"
Henderson County,71,Oquawka,1841,Warren County,"Henderson County, Kentucky, which was itself named after Richard Henderson","6387"
Henry County,73,Cambridge,1825,Fulton County,"Patrick Henry (1736–1799), American Revolutionary War figure; first and sixth Governor of Virginia","49284"
Iroquois County,75,Watseka,1833,Vermilion County,Iroquois Native Americans,"27077"
Jackson County,77,Murphysboro,1816,Randolph County and Johnson County,"Andrew Jackson (1767–1845), seventh President of the United States, United States Senator from Tennessee, and general in the War of 1812","52974"
Jasper County,79,Newton,1831,Clay and Crawford County,"Sgt. William Jasper (c. 1750–1779), American Revolutionary War soldier popularized by Parson Weems","9287"
Jefferson County,81,Mount Vernon,1819,Edwards and White County,"Thomas Jefferson (1743–1826), third President of the United States, second Vice President of the United States, Governor of Virginia, and one of the foremost Founding Fathers of the United States","37113"
Jersey County,83,Jerseyville,1839,Greene County,"State of New Jersey, from which many early settlers hailed","21512"
Jo Daviess County,85,Galena,1827,"Henry, Mercer, and Putnam County","Joseph Hamilton Daveiss (1774–1811), commander of the Indiana Dragoons at the Battle of Tippecanoe","22035"
Johnson County,87,Vienna,1812,Randolph County,"Richard Mentor Johnson (c. 1780–1850), ninth Vice President of the United States and United States Senator from Kentucky","13308"
