County,Population[5],Etymology[3][4]
Adams,"65,737","John Quincy Adams (1767–1848), sixth President of the United States"
Alexander,"5,240","William M. Alexander, settler and state representative in the Illinois General Assembly"
Bond,"16,725","Shadrach Bond (1773–1832), first Governor of Illinois"
Boone,"53,448","Daniel Boone (1734–1820), trailblazer of the Wilderness Road in Kentucky"
Brown,"6,244","Jacob Brown (1775–1828), successful War of 1812 army officer responsible for Great Lakes defenses"
Bureau,"33,244","Pierre de Bureo, Frenchman, North American fur trader"
Calhoun,"4,437","John C. Calhoun (1782–1850), South Carolina senator and seventh Vice President of the United States"
Carroll,"15,702","Charles Carroll of Carrollton (1737–1832), signed the Declaration of Independence on behalf of Maryland"
Cass,"13,042","Lewis Cass (1782–1866), second governor of Michigan Territory, fourteenth United States Secretary of War"
Champaign,"205,865","Champaign County, Ohio, which took its name from the French for ""open level country"""
Christian,"34,032","Christian County, Kentucky, which was named after William Christian"
Clark,"15,455","George Rogers Clark (1752–1818), highest-ranking officer in the Northwest Territory during the American Revolution"
Clay,"13,288","Henry Clay (1777–1852), Kentucky legislator who negotiated the Missouri Compromise"
Clinton,"36,899","DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal"
Coles,"46,863","Edward Coles (1786–1868), second Governor of Illinois, responsible for the abolition of slavery in Illinois"
Cook,"5,275,541","Daniel Pope Cook (1794–1827), politician and first Attorney General of Illinois"
Crawford,"18,679","William H. Crawford (1772–1834), ninth United States Secretary of War, seventh Secretary of the Treasury"
Cumberland,"10,450","Disputed: Cumberland Road, which entered the county; Cumberland, Maryland; or Cumberland River in Kentucky"
DeKalb,"100,420","Johann de Kalb (1721–1780), German soldier in the Continental Army who fought alongside Gilbert du Motier, marquis de Lafayette"
DeWitt,"15,516","DeWitt Clinton (1769–1828), Governor of New York, responsible for the construction of the Erie Canal"
Douglas,"19,740","Stephen A. Douglas (1813–1861), prominent Illinois Democrat who engaged in debates with Abraham Lincoln"
DuPage,"932,877",DuPage River
Edgar,"16,866","John Edgar (c. 1750–1832), Illinois delegate to the Northwest Territory legislature; at the time, wealthiest man in Illinois"
Edwards,"6,245","Ninian Edwards (1775–1833), third Governor of the State of Illinois and only governor of the Illinois Territory"
Effingham,"34,668","Thomas Howard, 3rd Earl of Effingham, military officer who resigned from the British Army to avoid fighting the American colonies"
